GEOID,NAME,variable,estimate,moe
17033,"Crawford County, Illinois",B25007_002,5914,271
17033,"Crawford County, Illinois",B25024_001,8680,290
17033,"Crawford County, Illinois",B25024_002,7152,317
17033,"Crawford County, Illinois",B25024_003,63,54
17033,"Crawford County, Illinois",B25077_001,94100,6217
17035,"Cumberland County, Illinois",B01001H_001,10410,11
17035,"Cumberland County, Illinois",B01002_001,42.2,1.2
17035,"Cumberland County, Illinois",B02001_001,10787,NA
17035,"Cumberland County, Illinois",B02001_002,10439,36
17035,"Cumberland County, Illinois",B07001_017,9345,310
17035,"Cumberland County, Illinois",B07011_001,30249,2120
17035,"Cumberland County, Illinois",B15003_001,7615,46
17035,"Cumberland County, Illinois",B15003_017,2631,221
17035,"Cumberland County, Illinois",B15003_018,434,115
17035,"Cumberland County, Illinois",B15003_019,598,122
17035,"Cumberland County, Illinois",B15003_020,893,171
17035,"Cumberland County, Illinois",B15003_021,1007,154
17035,"Cumberland County, Illinois",B15003_022,1034,160
17035,"Cumberland County, Illinois",B15003_023,322,96
17035,"Cumberland County, Illinois",B15003_024,47,27
17035,"Cumberland County, Illinois",B15003_025,34,23
17035,"Cumberland County, Illinois",B17001_001,10616,94
17035,"Cumberland County, Illinois",B19301_001,29426,2088
17035,"Cumberland County, Illinois",B25002_001,4879,49
17035,"Cumberland County, Illinois",B25002_003,650,118
17035,"Cumberland County, Illinois",B25007_001,4229,119
17035,"Cumberland County, Illinois",B25007_002,3432,141
17035,"Cumberland County, Illinois",B25024_001,4879,49
17035,"Cumberland County, Illinois",B25024_002,4059,139
17035,"Cumberland County, Illinois",B25024_003,39,41
17035,"Cumberland County, Illinois",B25077_001,106300,8821
17037,"DeKalb County, Illinois",B01001H_001,79607,108
17037,"DeKalb County, Illinois",B01002_001,31.3,0.2
17037,"DeKalb County, Illinois",B02001_001,104588,NA
17037,"DeKalb County, Illinois",B02001_002,86562,917
17037,"DeKalb County, Illinois",B07001_017,84305,1269
17037,"DeKalb County, Illinois",B07011_001,28594,1143
17037,"DeKalb County, Illinois",B15003_001,61798,142
17037,"DeKalb County, Illinois",B15003_017,12999,930
17037,"DeKalb County, Illinois",B15003_018,2694,413
17037,"DeKalb County, Illinois",B15003_019,5237,545
17037,"DeKalb County, Illinois",B15003_020,9593,688
