GEOID,NAME,variable,estimate,moe
10540,"Albany-Lebanon, OR Metro Area",B25024_002,33714,742
10540,"Albany-Lebanon, OR Metro Area",B25024_003,2085,433
10540,"Albany-Lebanon, OR Metro Area",B25077_001,240200,5495
10580,"Albany-Schenectady-Troy, NY Metro Area",B01001H_001,696139,965
10580,"Albany-Schenectady-Troy, NY Metro Area",B01002_001,40.2,0.2
10580,"Albany-Schenectady-Troy, NY Metro Area",B02001_001,880766,NA
10580,"Albany-Schenectady-Troy, NY Metro Area",B02001_002,719699,1684
10580,"Albany-Schenectady-Troy, NY Metro Area",B07001_017,755340,3695
10580,"Albany-Schenectady-Troy, NY Metro Area",B07011_001,37681,594
10580,"Albany-Schenectady-Troy, NY Metro Area",B15003_001,611816,289
10580,"Albany-Schenectady-Troy, NY Metro Area",B15003_017,128545,2579
10580,"Albany-Schenectady-Troy, NY Metro Area",B15003_018,25653,1339
10580,"Albany-Schenectady-Troy, NY Metro Area",B15003_019,36640,1647
10580,"Albany-Schenectady-Troy, NY Metro Area",B15003_020,63625,2175
10580,"Albany-Schenectady-Troy, NY Metro Area",B15003_021,74773,2099
10580,"Albany-Schenectady-Troy, NY Metro Area",B15003_022,128421,2984
10580,"Albany-Schenectady-Troy, NY Metro Area",B15003_023,79358,2237
10580,"Albany-Schenectady-Troy, NY Metro Area",B15003_024,15957,984
10580,"Albany-Schenectady-Troy, NY Metro Area",B15003_025,12571,859
10580,"Albany-Schenectady-Troy, NY Metro Area",B17001_001,850354,1229
10580,"Albany-Schenectady-Troy, NY Metro Area",B19301_001,38998,443
10580,"Albany-Schenectady-Troy, NY Metro Area",B25002_001,410107,562
10580,"Albany-Schenectady-Troy, NY Metro Area",B25002_003,50373,1818
10580,"Albany-Schenectady-Troy, NY Metro Area",B25007_001,359734,1879
10580,"Albany-Schenectady-Troy, NY Metro Area",B25007_002,228562,2204
10580,"Albany-Schenectady-Troy, NY Metro Area",B25024_001,410107,562
10580,"Albany-Schenectady-Troy, NY Metro Area",B25024_002,231894,2333
10580,"Albany-Schenectady-Troy, NY Metro Area",B25024_003,15840,919
10580,"Albany-Schenectady-Troy, NY Metro Area",B25077_001,221200,1474
10620,"Albemarle, NC Micro Area",B01001H_001,49951,228
10620,"Albemarle, NC Micro Area",B01002_001,42,0.5
10620,"Albemarle, NC Micro Area",B02001_001,62050,NA
10620,"Albemarle, NC Micro Area",B02001_002,51637,498
10620,"Albemarle, NC Micro Area",B07001_017,54095,955
10620,"Albemarle, NC Micro Area",B07011_001,28219,1587
10620,"Albemarle, NC Micro Area",B15003_001,43551,110
10620,"Albemarle, NC Micro Area",B15003_017,11521,840
10620,"Albemarle, NC Micro Area",B15003_018,2423,277
10620,"Albemarle, NC Micro Area",B15003_019,3444,399
10620,"Albemarle, NC Micro Area",B15003_020,7017,604
10620,"Albemarle, NC Micro Area",B15003_021,5579,582
10620,"Albemarle, NC Micro Area",B15003_022,5526,632
10620,"Albemarle, NC Micro Area",B15003_023,1751,268
10620,"Albemarle, NC Micro Area",B15003_024,258,106
10620,"Albemarle, NC Micro Area",B15003_025,144,62
10620,"Albemarle, NC Micro Area",B17001_001,60164,228
10620,"Albemarle, NC Micro Area",B19301_001,26956,862
10620,"Albemarle, NC Micro Area",B25002_001,28007,109
10620,"Albemarle, NC Micro Area",B25002_003,4158,437
10620,"Albemarle, NC Micro Area",B25007_001,23849,466
10620,"Albemarle, NC Micro Area",B25007_002,17821,636
10620,"Albemarle, NC Micro Area",B25024_001,28007,109
10620,"Albemarle, NC Micro Area",B25024_002,22604,511
10620,"Albemarle, NC Micro Area",B25024_003,149,75
10620,"Albemarle, NC Micro Area",B25077_001,150400,5498
10660,"Albert Lea, MN Micro Area",B01001H_001,25706,11
10660,"Albert Lea, MN Micro Area",B01002_001,44.5,0.5
10660,"Albert Lea, MN Micro Area",B02001_001,30465,NA
10660,"Albert Lea, MN Micro Area",B02001_002,27299,343
10660,"Albert Lea, MN Micro Area",B07001_017,26866,470
10660,"Albert Lea, MN Micro Area",B07011_001,31118,816
10660,"Albert Lea, MN Micro Area",B15003_001,21793,68
10660,"Albert Lea, MN Micro Area",B15003_017,6498,376
10660,"Albert Lea, MN Micro Area",B15003_018,957,174
10660,"Albert Lea, MN Micro Area",B15003_019,1693,199
10660,"Albert Lea, MN Micro Area",B15003_020,3234,296
10660,"Albert Lea, MN Micro Area",B15003_021,3132,282
10660,"Albert Lea, MN Micro Area",B15003_022,2588,213
10660,"Albert Lea, MN Micro Area",B15003_023,768,132
10660,"Albert Lea, MN Micro Area",B15003_024,292,105
10660,"Albert Lea, MN Micro Area",B15003_025,65,28
10660,"Albert Lea, MN Micro Area",B17001_001,29888,201
10660,"Albert Lea, MN Micro Area",B19301_001,30760,1104
10660,"Albert Lea, MN Micro Area",B25002_001,14371,95
10660,"Albert Lea, MN Micro Area",B25002_003,1366,254
10660,"Albert Lea, MN Micro Area",B25007_001,13005,244
10660,"Albert Lea, MN Micro Area",B25007_002,10042,303
10660,"Albert Lea, MN Micro Area",B25024_001,14371,95
10660,"Albert Lea, MN Micro Area",B25024_002,11243,275
10660,"Albert Lea, MN Micro Area",B25024_003,560,125
10660,"Albert Lea, MN Micro Area",B25077_001,121600,5214
10700,"Albertville, AL Micro Area",B01001H_001,77368,121
10700,"Albertville, AL Micro Area",B01002_001,39.2,0.5
10700,"Albertville, AL Micro Area",B02001_001,96137,NA
10700,"Albertville, AL Micro Area",B02001_002,86784,522
10700,"Albertville, AL Micro Area",B07001_017,84773,1111
10700,"Albertville, AL Micro Area",B07011_001,25730,694
10700,"Albertville, AL Micro Area",B15003_001,64322,31
10700,"Albertville, AL Micro Area",B15003_017,15364,755
10700,"Albertville, AL Micro Area",B15003_018,4624,519
10700,"Albertville, AL Micro Area",B15003_019,4625,519
10700,"Albertville, AL Micro Area",B15003_020,9693,662
10700,"Albertville, AL Micro Area",B15003_021,5992,520
10700,"Albertville, AL Micro Area",B15003_022,9037,662
10700,"Albertville, AL Micro Area",B15003_023,3210,344
10700,"Albertville, AL Micro Area",B15003_024,653,188
10700,"Albertville, AL Micro Area",B15003_025,398,127
10700,"Albertville, AL Micro Area",B17001_001,94762,217
10700,"Albertville, AL Micro Area",B19301_001,25861,929
10700,"Albertville, AL Micro Area",B25002_001,40661,99
10700,"Albertville, AL Micro Area",B25002_003,5546,521
10700,"Albertville, AL Micro Area",B25007_001,35115,536
10700,"Albertville, AL Micro Area",B25007_002,25598,600
10700,"Albertville, AL Micro Area",B25024_001,40661,99
10700,"Albertville, AL Micro Area",B25024_002,31462,537
10700,"Albertville, AL Micro Area",B25024_003,257,94
10700,"Albertville, AL Micro Area",B25077_001,141300,5822
10740,"Albuquerque, NM Metro Area",B01001H_001,351125,1532
10740,"Albuquerque, NM Metro Area",B01002_001,38.5,0.2
10740,"Albuquerque, NM Metro Area",B02001_001,915986,NA
10740,"Albuquerque, NM Metro Area",B02001_002,647918,4566
10740,"Albuquerque, NM Metro Area",B07001_017,784690,4088
10740,"Albuquerque, NM Metro Area",B07011_001,29450,555
10740,"Albuquerque, NM Metro Area",B15003_001,632480,343
10740,"Albuquerque, NM Metro Area",B15003_017,125521,2683
10740,"Albuquerque, NM Metro Area",B15003_018,28100,1571
10740,"Albuquerque, NM Metro Area",B15003_019,39843,1690
10740,"Albuquerque, NM Metro Area",B15003_020,108273,3128
10740,"Albuquerque, NM Metro Area",B15003_021,56325,2243
10740,"Albuquerque, NM Metro Area",B15003_022,116845,2435
10740,"Albuquerque, NM Metro Area",B15003_023,64082,2360
10740,"Albuquerque, NM Metro Area",B15003_024,14317,962
10740,"Albuquerque, NM Metro Area",B15003_025,13508,1025
10740,"Albuquerque, NM Metro Area",B17001_001,904290,899
10740,"Albuquerque, NM Metro Area",B19301_001,30397,364
